"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","workerId","interview_date","handedness","version","difficulty","max_strikes","max_streaks","index","deck_contingencies","streak","strike","key_press","reward_type","reversal_type","reward_tally","rating_random","rating_sabotage"
"236","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/outcome/scaled_lose.jpg'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","2","html-keyboard-response","79","65271","0.0-9.0-2.20","333","02/20/2024","","sabotage","easy-hard","2","9","21","[0.9,0.5,0.1]","0","0","50","","false","1650","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","80","65773","0.0-9.0-0.21","","","","","","","","","","","","","","","","",""
"154","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","2","html-keyboard-response","81","65929","0.0-9.0-1.21","","","","","","","","","","","","","","","","",""
"154","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/outcome/scaled_lose.jpg'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","2","html-keyboard-response","82","66933","0.0-9.0-2.21","333","02/20/2024","","sabotage","easy-hard","2","9","22","[0.9,0.5,0.1]","0","1","50","","false","1600","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","83","67434","0.0-9.0-0.22","","","","","","","","","","","","","","","","",""
"272","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","3","html-keyboard-response","84","67708","0.0-9.0-1.22","","","","","","","","","","","","","","","","",""
"272","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/outcome/scaled_lose.jpg'>
                </div>","3","html-keyboard-response","85","68712","0.0-9.0-2.22","333","02/20/2024","","sabotage","easy-hard","2","9","23","[0.9,0.5,0.1]","0","2","51","","false","1550","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","86","69214","0.0-9.0-0.23","","","","","","","","","","","","","","","","",""
"216","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","1","html-keyboard-response","87","69432","0.0-9.0-1.23","","","","","","","","","","","","","","","","",""
"216","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/outcome/scaled_win.jpg'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","1","html-keyboard-response","88","70435","0.0-9.0-2.23","333","02/20/2024","","sabotage","easy-hard","2","9","24","[0.9,0.5,0.1]","1","2","49","","false","1650","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","89","70937","0.0-9.0-0.24","","","","","","","","","","","","","","","","",""
"336","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","1","html-keyboard-response","90","71275","0.0-9.0-1.24","","","","","","","","","","","","","","","","",""
"336","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/outcome/scaled_win.jpg'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","1","html-keyboard-response","91","72277","0.0-9.0-2.24","333","02/20/2024","","sabotage","easy-hard","2","9","25","[0.9,0.5,0.1]","2","2","49","","false","1750","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","92","72779","0.0-9.0-0.25","","","","","","","","","","","","","","","","",""
"221","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","1","html-keyboard-response","93","73002","0.0-9.0-1.25","","","","","","","","","","","","","","","","",""
"221","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/outcome/scaled_lose.jpg'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","1","html-keyboard-response","94","74005","0.0-9.0-2.25","333","02/20/2024","","sabotage","easy-hard","2","9","26","[0.9,0.5,0.1]","3","2","49","","false","1700","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","95","74506","0.0-9.0-0.26","","","","","","","","","","","","","","","","",""
"178","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","3","html-keyboard-response","96","74687","0.0-9.0-1.26","","","","","","","","","","","","","","","","",""
"178","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/outcome/scaled_win.jpg'>
                </div>","3","html-keyboard-response","97","75691","0.0-9.0-2.26","333","02/20/2024","","sabotage","easy-hard","2","9","27","[0.9,0.5,0.1]","0","0","51","","false","1800","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","98","76193","0.0-9.0-0.27","","","","","","","","","","","","","","","","",""
"227","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","3","html-keyboard-response","99","76422","0.0-9.0-1.27","","","","","","","","","","","","","","","","",""
"227","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/outcome/scaled_win.jpg'>
                </div>","3","html-keyboard-response","100","77425","0.0-9.0-2.27","333","02/20/2024","","sabotage","easy-hard","2","9","28","[0.9,0.5,0.1]","0","1","51","","false","1900","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","101","77926","0.0-9.0-0.28","","","","","","","","","","","","","","","","",""
"277","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","3","html-keyboard-response","102","78205","0.0-9.0-1.28","","","","","","","","","","","","","","","","",""
"277","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/outcome/scaled_win.jpg'>
                </div>","3","html-keyboard-response","103","79209","0.0-9.0-2.28","333","02/20/2024","","sabotage","easy-hard","2","9","29","[0.9,0.5,0.1]","0","2","51","","false","2000","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","104","79710","0.0-9.0-0.29","","","","","","","","","","","","","","","","",""
"193","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","3","html-keyboard-response","105","79905","0.0-9.0-1.29","","","","","","","","","","","","","","","","",""
"193","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/outcome/scaled_win.jpg'>
                </div>","3","html-keyboard-response","106","80909","0.0-9.0-2.29","333","02/20/2024","","sabotage","easy-hard","2","9","30","[0.9,0.5,0.1]","0","0","51","","false","2100","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","107","81411","0.0-9.0-0.30","","","","","","","","","","","","","","","","",""
"165","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","3","html-keyboard-response","108","81578","0.0-9.0-1.30","","","","","","","","","","","","","","","","",""
"165","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/outcome/scaled_lose.jpg'>
                </div>","3","html-keyboard-response","109","82582","0.0-9.0-2.30","333","02/20/2024","","sabotage","easy-hard","2","9","31","[0.9,0.5,0.1]","0","1","51","","false","2050","",""
